project,feature_selection,metrics_configuration,precision_mean,precision_max,recall_mean,recall_max,f1_measure_mean,f1_measure_max,auc_roc_mean,auc_roc_max,brier_score_mean,brier_score_max,original_num_files_per_version,original_num_defective_files_per_version,original_training_num_files,original_testing_num_files,original_training_num_defective_files,original_testing_num_defective_files,num_training_files,num_testing_files,num_training_defective_files,num_testing_defective_files
accumulo,chi2_20p,Traditional,0.2264362171914641,0.2514204545454545,0.632780487804878,0.7190243902439024,0.33220001464888155,0.3686539963551158,0.5415584472415867,0.582719454455945,0.512544660579595,0.5960698689956332,7937,1361,29650,10035,29650,1840,85740,25190,22800,5125
accumulo,chi2_20p,Traditional + Designite,0.21217403672074955,0.2924251321197886,0.6583001328021248,0.7304116865869854,0.31905083564729064,0.4055374592833877,0.5482791955301917,0.6497463599057224,0.5211609110947834,0.6203771736468283,7937,1361,29650,10035,29650,1840,69925,20415,19035,3765
accumulo,chi2_20p,Traditional + Designite + Fowler,0.2502238340045302,0.421875,0.6620805369127518,0.8154362416107382,0.3434401431302436,0.4741833508956796,0.5930445177481605,0.7266669201665493,0.4519298245614035,0.6099415204678362,7937,1361,29650,10035,29650,1840,28295,8550,8330,1490
accumulo,chi2_20p,Traditional + Fowler,0.18922655194627794,0.2389558232931727,0.5887005649717514,0.7288135593220338,0.2855671329229392,0.3588317107093185,0.5442232176828262,0.6020179613636853,0.4839211618257262,0.6213692946058091,7937,1361,29650,10035,29650,1840,31705,9640,9085,1770
accumulo,chi2_50p,Designite,0.2341572326521277,0.2476007677543186,0.2628154050464808,0.3426294820717131,0.2470660080212569,0.28746518105849583,0.5346509457664836,0.5535970233181389,0.2937790840068577,0.3132500612294881,7937,1361,29650,10035,29650,1840,69925,20415,19035,3765
accumulo,chi2_50p,Designite + Fowler,0.17483629023348046,0.1855855855855856,0.8702830188679245,0.9716981132075472,0.29115082104474665,0.31164901664145234,0.6655102729914459,0.7057127070531073,0.4917009038619557,0.4984935634072857,7937,1361,29650,10035,29650,1840,60410,18255,11390,2120
accumulo,chi2_50p,Fowler,0.18549240101075112,0.19216182048040456,0.8395209580838323,0.9101796407185628,0.3037543776915737,0.3173277661795407,0.64286164986149,0.6673383943610827,0.5023747390396658,0.5120041753653445,7937,1361,29650,10035,29650,1840,63065,19160,12375,2505
accumulo,chi2_50p,Traditional,0.2319045034644565,0.2847514743049705,0.6870243902439024,0.9980487804878048,0.34432600214672265,0.3977640482494851,0.5475490752614977,0.6181936754328919,0.5351726875744343,0.7903930131004366,7937,1361,29650,10035,29650,1840,85740,25190,22800,5125
accumulo,chi2_50p,Traditional + Designite,0.2184734483608088,0.2447013487475916,0.6819389110225764,0.7317397078353254,0.3306303070711418,0.35913750441852244,0.563852338394171,0.6018819616429177,0.510678422728386,0.579965711486652,7937,1361,29650,10035,29650,1840,69925,20415,19035,3765
accumulo,chi2_50p,Traditional + Designite + Fowler,0.17844917152694076,0.22510373443983409,0.6476510067114093,0.8053691275167785,0.2784123535144261,0.3438985736925515,0.5422745118542884,0.5995755461338099,0.5263742690058479,0.6976608187134503,7937,1361,29650,10035,29650,1840,28295,8550,8330,1490
accumulo,chi2_50p,Traditional + Fowler,0.21572729011253355,0.28613138686131384,0.6915254237288135,0.7514124293785308,0.326575966671586,0.37728585178055823,0.5558008313053217,0.6214994364640091,0.5300829875518672,0.6192946058091287,7937,1361,29650,10035,29650,1840,31705,9640,9085,1770
accumulo,f_classif_20,Designite,0.23614200651612174,0.24830917874396136,0.2922974767596282,0.34130146082337315,0.25874115466966224,0.2874720357941834,0.5413589485900243,0.5538339135948697,0.301445015919667,0.31202547146705856,7937,1361,29650,10035,29650,1840,69925,20415,19035,3765
accumulo,f_classif_20,Designite + Fowler,0.18084921793924874,0.18684807256235827,0.916509433962264,0.9882075471698112,0.3020450204547719,0.3134271586154431,0.6859739608608966,0.7088543158842548,0.4910161599561764,0.5056149000273897,7937,1361,29650,10035,29650,1840,60410,18255,11390,2120
accumulo,f_classif_20,Fowler,0.1891550753622636,0.19005102040816327,0.8754491017964074,0.8922155688622755,0.31102117428301834,0.31335436382754994,0.6556320861728959,0.6601576193155568,0.5067066805845512,0.5112212943632568,7937,1361,29650,10035,29650,1840,63065,19160,12375,2505
accumulo,f_classif_20,Traditional,0.2287285749644328,0.24724467303453346,0.6682926829268292,0.7239024390243902,0.34035268342244696,0.3592207099012543,0.5449238146754756,0.5729973926203255,0.5282453354505756,0.6125446605795951,7937,1361,29650,10035,29650,1840,85740,25190,22800,5125
accumulo,f_classif_20,Traditional + Designite,0.235362902864585,0.35654008438818563,0.6557768924302789,0.7317397078353254,0.3437774095661025,0.4662068965517242,0.5793899477166409,0.6992659990667958,0.4688219446485428,0.5777614499142787,7937,1361,29650,10035,29650,1840,69925,20415,19035,3765
accumulo,f_classif_20,Traditional + Designite + Fowler,0.1737083717824854,0.2204724409448819,0.6375838926174495,0.8389261744966443,0.2706298735529629,0.3406179351921628,0.5288486035325209,0.5948461889461376,0.5419883040935672,0.7690058479532164,7937,1361,29650,10035,29650,1840,28295,8550,8330,1490
accumulo,f_classif_20,Traditional + Fowler,0.20035166702603815,0.33374844333748444,0.6542372881355932,0.8220338983050848,0.3041434637994652,0.463267070008643,0.5594884026446707,0.7085818993675476,0.5004668049792531,0.6794605809128631,7937,1361,29650,10035,29650,1840,31705,9640,9085,1770
accumulo,f_classif_50,Designite,0.2409479486946223,0.2495527728085868,0.2903054448871183,0.3705179282868526,0.26296544612162753,0.2982362373062533,0.5418794491702859,0.5592829881674504,0.29933872152828805,0.3215772716140093,7937,1361,29650,10035,29650,1840,69925,20415,19035,3765
accumulo,f_classif_50,Designite + Fowler,0.1748189230084935,0.18365553602811951,0.8766509433962264,0.9858490566037736,0.29145880840252913,0.30962962962962964,0.6666954747969667,0.7050410451906379,0.4944946589975349,0.5105450561490003,7937,1361,29650,10035,29650,1840,60410,18255,11390,2120
accumulo,f_classif_50,Fowler,0.1867736406699348,0.19237217099748533,0.8550898203592814,0.9161676646706588,0.3065029176992332,0.3179771388985106,0.647779074094381,0.6688313556016157,0.5053235908141962,0.5138308977035491,7937,1361,29650,10035,29650,1840,63065,19160,12375,2505
accumulo,f_classif_50,Traditional,0.2338689337830729,0.2498252969951083,0.6738536585365852,0.72,0.34712312804645845,0.3704819277108434,0.5546442476585244,0.5832743583354099,0.5160579595077411,0.5512107979356887,7937,1361,29650,10035,29650,1840,85740,25190,22800,5125
accumulo,f_classif_50,Traditional + Designite,0.222813513788896,0.24904761904761905,0.6930942895086323,0.7768924302788844,0.3369220122883079,0.3757225433526011,0.5717723699795413,0.6217795484727755,0.5048003918687239,0.5628214548126378,7937,1361,29650,10035,29650,1840,69925,20415,19035,3765
accumulo,f_classif_50,Traditional + Designite + Fowler,0.17688170368764214,0.22422680412371127,0.5879194630872482,0.8053691275167785,0.26958434255764063,0.34267912772585674,0.5403478335266271,0.5978810578550108,0.4906432748538012,0.6713450292397661,7937,1361,29650,10035,29650,1840,28295,8550,8330,1490
