dataset,feature_selection,precision_mean,precision_max,recall_mean,recall_max,f1_measure_mean,f1_measure_max,auc_roc_mean,auc_roc_max,brier_score_mean,brier_score_max
Traditional + Designite,f_classif_50,0.09358906989497462,0.16037735849056606,0.5676855895196506,0.8122270742358079,0.15307568305285524,0.24264705882352944,0.5989825463126204,0.7075751793027825,0.3727464640067554,0.7046654000422208
Traditional + Designite,mutual_info_classif_20p,0.08184446015196015,0.13838748495788206,0.5637554585152839,0.7205240174672489,0.13882234544168962,0.21698113207547165,0.5879779954510758,0.672859118965604,0.39014143972978677,0.6941101963267889
Traditional + Designite,mutual_info_classif_50p,0.08280564874115404,0.14184397163120568,0.5877729257641923,0.8165938864628821,0.13923603957215924,0.2232558139534884,0.5827950698031253,0.6814852198711266,0.4217014988389275,0.7941735275490817
Traditional + Designite,recursive_elimination,0.07712457571225675,0.11444652908067543,0.49388646288209603,0.7729257641921398,0.12961771849891127,0.1884169884169884,0.5686823618758308,0.6616727951860448,0.36375343044120745,0.7542748575047499
Traditional + Designite + Fowler,all,0.1983582986006142,0.26639344262295084,0.4923809523809524,0.6285714285714286,0.27413197031564307,0.3724928366762178,0.6471203155818541,0.7338686954071569,0.22336956521739126,0.3796583850931677
Traditional + Designite + Fowler,chi2_20p,0.16437913572791102,0.2169014084507042,0.5333333333333333,0.7333333333333333,0.24848998451452325,0.3347826086956521,0.6335305719921104,0.7491687799380107,0.28260869565217395,0.5357142857142857
Traditional + Designite + Fowler,chi2_50p,0.16162057657377402,0.21551724137931036,0.5485714285714286,0.7142857142857143,0.24469325803122324,0.3311258278145695,0.620989010989011,0.7417582417582418,0.3184006211180125,0.7406832298136646
Traditional + Designite + Fowler,f_classif_20,0.17047899057060398,0.2488888888888889,0.5647619047619048,0.6952380952380952,0.25694552430520406,0.34866828087167073,0.6349591434206819,0.7431107354184278,0.3062888198757764,0.6118012422360248
Traditional + Designite + Fowler,f_classif_50,0.16110979173714432,0.2640449438202247,0.5009523809523809,0.7523809523809524,0.2337568014122005,0.3321554770318021,0.5994618202310511,0.6885883347421808,0.3180900621118013,0.8175465838509317
Traditional + Designite + Fowler,mutual_info_classif_20p,0.159535112954266,0.21403508771929824,0.5657142857142857,0.7047619047619048,0.2462094752445661,0.3219954648526077,0.6355198647506339,0.7260918568610877,0.306055900621118,0.5621118012422359
Traditional + Designite + Fowler,mutual_info_classif_50p,0.15303248147049092,0.24242424242424246,0.5028571428571429,0.7333333333333333,0.22747676732955308,0.3333333333333333,0.625519864750634,0.7008453085376163,0.2718167701863354,0.6079192546583851
Traditional + Designite + Fowler,recursive_elimination,0.15451562622312714,0.2755102040816326,0.5076190476190476,0.8761904761904762,0.2196137932053163,0.35880398671096336,0.5817047055508594,0.6971259509721048,0.35628881987577643,0.8012422360248447
Traditional + Fowler,all,0.1847463098993777,0.25555555555555554,0.4943548387096775,0.6370967741935484,0.26124440036931135,0.350253807106599,0.6375659674120984,0.7102271477889922,0.24154619736015084,0.518541797611565
Traditional + Fowler,chi2_20p,0.16445390089489453,0.23229461756373934,0.6120967741935484,0.7741935483870968,0.25492909674830644,0.3438155136268344,0.6549236427204961,0.7498625678914617,0.30892520427404146,0.5738529226901321
Traditional + Fowler,chi2_50p,0.15414236255321284,0.19664268585131892,0.5733870967741936,0.6774193548387096,0.24003312944554586,0.30324909747292417,0.6404426963080238,0.7207819337247399,0.30295411690760526,0.5191703331238215
Traditional + Fowler,f_classif_20,0.15713539008340424,0.2256267409470752,0.6000000000000002,0.7096774193548387,0.24645329895707285,0.3354037267080745,0.6468643490115883,0.7474767464872353,0.3135763670647391,0.5430546825895664
Traditional + Fowler,f_classif_50,0.16399712483221607,0.2409240924092409,0.5266129032258065,0.6612903225806451,0.24405293011046866,0.34192037470725994,0.6200890010334894,0.7159635639993844,0.30100565681961033,0.6731615336266499
Traditional + Fowler,mutual_info_classif_20p,0.16454871905686985,0.22006472491909385,0.5741935483870968,0.7016129032258065,0.2529148445150496,0.3269230769230769,0.6497416276359479,0.7367432988103877,0.2864864864864865,0.5153991200502829
Traditional + Fowler,mutual_info_classif_50p,0.15709854582772467,0.239344262295082,0.4838709677419355,0.6532258064516129,0.23049079706294853,0.34032634032634035,0.6210425050025287,0.715281900741034,0.26316781898177244,0.5864236329352609
Traditional + Fowler,recursive_elimination,0.15445956754110868,0.2392156862745098,0.4387096774193549,0.6693548387096774,0.22003627204251935,0.32189973614775724,0.6147876948787299,0.6896618070673087,0.23658076681332493,0.4274041483343809
Designite,all,0.2504490451253614,0.2510356255178128,0.834380776340111,0.8401109057301294,0.3852565297500359,0.3865617690835637,0.568107700831554,0.5696678559658399,0.5818053311793214,0.5838045234248789
Designite,chi2_20p,0.36957631204467734,0.3713713713713714,0.34094269870609983,0.3465804066543438,0.35467460730000483,0.3565593464680443,0.5891664397923264,0.5903048235872893,0.27108239095315023,0.27423263327948305
